2022-Dec-23 17:42:15.272658, Inquiry ID: INQUIRY0, Side: bid, Price: 99-045, Quantity: 1000000, State: DONE
2022-Dec-23 17:42:15.353443, Inquiry ID: INQUIRY60, Side: bid, Price: 100-11+, Quantity: 5000000, State: DONE
2022-Dec-23 17:42:15.355436, Inquiry ID: INQUIRY61, Side: offer, Price: 99-236, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.356436, Inquiry ID: INQUIRY62, Side: bid, Price: 100-056, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.357431, Inquiry ID: INQUIRY63, Side: offer, Price: 99-187, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.358428, Inquiry ID: INQUIRY64, Side: bid, Price: 100-081, Quantity: 1000000, State: DONE
2022-Dec-23 17:42:15.359461, Inquiry ID: INQUIRY65, Side: offer, Price: 100-141, Quantity: 2000000, State: DONE
2022-Dec-23 17:42:15.360459, Inquiry ID: INQUIRY66, Side: bid, Price: 99-315, Quantity: 3000000, State: DONE
2022-Dec-23 17:42:15.361419, Inquiry ID: INQUIRY67, Side: offer, Price: 100-255, Quantity: 4000000, State: DONE
2022-Dec-23 17:42:15.362454, Inquiry ID: INQUIRY68, Side: bid, Price: 100-265, Quantity: 5000000, State: DONE
2022-Dec-23 17:42:15.363415, Inquiry ID: INQUIRY69, Side: offer, Price: 100-246, Quantity: 4000000, State: DONE
