2022-Dec-24 00:33:55.525685, CUSIP: 91282CFX4, Side: bid, Order ID: 0, Order type: MARKET, Price: 99-001, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.637386, CUSIP: 91282CFX4, Side: offer, Order ID: 11, Order type: MARKET, Price: 99-081, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.647362, CUSIP: 91282CFX4, Side: bid, Order ID: 12, Order type: MARKET, Price: 99-091, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.656337, CUSIP: 91282CFX4, Side: offer, Order ID: 13, Order type: MARKET, Price: 99-095, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.670301, CUSIP: 91282CFX4, Side: bid, Order ID: 14, Order type: MARKET, Price: 99-105, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.681269, CUSIP: 91282CFX4, Side: offer, Order ID: 15, Order type: MARKET, Price: 99-111, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.693237, CUSIP: 91282CFX4, Side: bid, Order ID: 16, Order type: MARKET, Price: 99-121, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.703212, CUSIP: 91282CFX4, Side: offer, Order ID: 17, Order type: MARKET, Price: 99-125, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.714181, CUSIP: 91282CFX4, Side: bid, Order ID: 18, Order type: MARKET, Price: 99-135, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.724190, CUSIP: 91282CFX4, Side: offer, Order ID: 19, Order type: MARKET, Price: 99-141, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.733133, CUSIP: 91282CFX4, Side: bid, Order ID: 20, Order type: MARKET, Price: 99-151, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.745100, CUSIP: 91282CFX4, Side: offer, Order ID: 21, Order type: MARKET, Price: 99-155, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.755072, CUSIP: 91282CFX4, Side: bid, Order ID: 22, Order type: MARKET, Price: 99-165, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.763094, CUSIP: 91282CFX4, Side: offer, Order ID: 23, Order type: MARKET, Price: 99-171, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.772066, CUSIP: 91282CFX4, Side: bid, Order ID: 24, Order type: MARKET, Price: 99-181, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.781035, CUSIP: 91282CFX4, Side: offer, Order ID: 25, Order type: MARKET, Price: 99-185, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.790012, CUSIP: 91282CFX4, Side: bid, Order ID: 26, Order type: MARKET, Price: 99-195, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.798991, CUSIP: 91282CFX4, Side: offer, Order ID: 27, Order type: MARKET, Price: 99-201, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.807962, CUSIP: 91282CFX4, Side: bid, Order ID: 28, Order type: MARKET, Price: 99-211, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.816906, CUSIP: 91282CFX4, Side: offer, Order ID: 29, Order type: MARKET, Price: 99-215, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.825883, CUSIP: 91282CFX4, Side: bid, Order ID: 30, Order type: MARKET, Price: 99-225, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.835891, CUSIP: 91282CFX4, Side: offer, Order ID: 31, Order type: MARKET, Price: 99-231, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.844872, CUSIP: 91282CFX4, Side: bid, Order ID: 32, Order type: MARKET, Price: 99-241, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.854806, CUSIP: 91282CFX4, Side: offer, Order ID: 33, Order type: MARKET, Price: 99-245, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.865777, CUSIP: 91282CFX4, Side: bid, Order ID: 34, Order type: MARKET, Price: 99-255, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.874754, CUSIP: 91282CFX4, Side: offer, Order ID: 35, Order type: MARKET, Price: 99-261, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.892704, CUSIP: 91282CFX4, Side: bid, Order ID: 36, Order type: MARKET, Price: 99-271, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.904672, CUSIP: 91282CFX4, Side: offer, Order ID: 37, Order type: MARKET, Price: 99-275, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.914646, CUSIP: 91282CFX4, Side: bid, Order ID: 38, Order type: MARKET, Price: 99-285, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.923623, CUSIP: 91282CFX4, Side: offer, Order ID: 39, Order type: MARKET, Price: 99-291, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.941613, CUSIP: 91282CFX4, Side: bid, Order ID: 40, Order type: MARKET, Price: 99-301, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.950591, CUSIP: 91282CFX4, Side: offer, Order ID: 41, Order type: MARKET, Price: 99-305, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.959525, CUSIP: 91282CFX4, Side: bid, Order ID: 42, Order type: MARKET, Price: 99-315, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.969499, CUSIP: 91282CFX4, Side: offer, Order ID: 43, Order type: MARKET, Price: 100-001, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.978476, CUSIP: 91282CFX4, Side: bid, Order ID: 44, Order type: MARKET, Price: 100-011, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.989446, CUSIP: 91282CFX4, Side: offer, Order ID: 45, Order type: MARKET, Price: 100-015, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:55.998423, CUSIP: 91282CFX4, Side: bid, Order ID: 46, Order type: MARKET, Price: 100-025, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.008397, CUSIP: 91282CFX4, Side: offer, Order ID: 47, Order type: MARKET, Price: 100-031, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.017398, CUSIP: 91282CFX4, Side: bid, Order ID: 48, Order type: MARKET, Price: 100-041, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.029339, CUSIP: 91282CFX4, Side: offer, Order ID: 49, Order type: MARKET, Price: 100-045, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.039312, CUSIP: 91282CFX4, Side: bid, Order ID: 50, Order type: MARKET, Price: 100-055, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.052313, CUSIP: 91282CFX4, Side: offer, Order ID: 51, Order type: MARKET, Price: 100-061, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.064246, CUSIP: 91282CFX4, Side: bid, Order ID: 52, Order type: MARKET, Price: 100-071, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.089797, CUSIP: 91282CFX4, Side: offer, Order ID: 53, Order type: MARKET, Price: 100-075, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.100768, CUSIP: 91282CFX4, Side: bid, Order ID: 54, Order type: MARKET, Price: 100-085, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.111736, CUSIP: 91282CFX4, Side: offer, Order ID: 55, Order type: MARKET, Price: 100-091, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.121711, CUSIP: 91282CFX4, Side: bid, Order ID: 56, Order type: MARKET, Price: 100-101, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.134675, CUSIP: 91282CFX4, Side: offer, Order ID: 57, Order type: MARKET, Price: 100-105, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.143651, CUSIP: 91282CFX4, Side: bid, Order ID: 58, Order type: MARKET, Price: 100-115, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.153626, CUSIP: 91282CFX4, Side: offer, Order ID: 59, Order type: MARKET, Price: 100-121, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.164597, CUSIP: 91282CFX4, Side: bid, Order ID: 60, Order type: MARKET, Price: 100-131, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.174571, CUSIP: 91282CFX4, Side: offer, Order ID: 61, Order type: MARKET, Price: 100-135, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.186537, CUSIP: 91282CFX4, Side: bid, Order ID: 62, Order type: MARKET, Price: 100-145, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.196509, CUSIP: 91282CFX4, Side: offer, Order ID: 63, Order type: MARKET, Price: 100-151, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.208477, CUSIP: 91282CFX4, Side: bid, Order ID: 64, Order type: MARKET, Price: 100-161, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.219448, CUSIP: 91282CFX4, Side: offer, Order ID: 65, Order type: MARKET, Price: 100-165, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.229422, CUSIP: 91282CFX4, Side: bid, Order ID: 66, Order type: MARKET, Price: 100-175, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.239396, CUSIP: 91282CFX4, Side: offer, Order ID: 67, Order type: MARKET, Price: 100-181, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.250369, CUSIP: 91282CFX4, Side: bid, Order ID: 68, Order type: MARKET, Price: 100-191, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.261337, CUSIP: 91282CFX4, Side: offer, Order ID: 69, Order type: MARKET, Price: 100-195, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.274302, CUSIP: 91282CFX4, Side: bid, Order ID: 70, Order type: MARKET, Price: 100-205, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.294249, CUSIP: 91282CFX4, Side: offer, Order ID: 71, Order type: MARKET, Price: 100-211, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.311203, CUSIP: 91282CFX4, Side: bid, Order ID: 72, Order type: MARKET, Price: 100-221, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.321177, CUSIP: 91282CFX4, Side: offer, Order ID: 73, Order type: MARKET, Price: 100-225, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.331149, CUSIP: 91282CFX4, Side: bid, Order ID: 74, Order type: MARKET, Price: 100-235, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.341123, CUSIP: 91282CFX4, Side: offer, Order ID: 75, Order type: MARKET, Price: 100-241, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.350099, CUSIP: 91282CFX4, Side: bid, Order ID: 76, Order type: MARKET, Price: 100-251, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.360074, CUSIP: 91282CFX4, Side: offer, Order ID: 77, Order type: MARKET, Price: 100-255, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.372041, CUSIP: 91282CFX4, Side: bid, Order ID: 78, Order type: MARKET, Price: 100-265, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.386004, CUSIP: 91282CFX4, Side: offer, Order ID: 79, Order type: MARKET, Price: 100-271, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.396975, CUSIP: 91282CFX4, Side: bid, Order ID: 80, Order type: MARKET, Price: 100-281, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.410938, CUSIP: 91282CFX4, Side: offer, Order ID: 81, Order type: MARKET, Price: 100-285, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.422905, CUSIP: 91282CFX4, Side: bid, Order ID: 82, Order type: MARKET, Price: 100-295, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.433875, CUSIP: 91282CFX4, Side: offer, Order ID: 83, Order type: MARKET, Price: 100-301, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.444845, CUSIP: 91282CFX4, Side: bid, Order ID: 84, Order type: MARKET, Price: 100-311, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.455817, CUSIP: 91282CFX4, Side: offer, Order ID: 85, Order type: MARKET, Price: 100-315, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.470778, CUSIP: 91282CFX4, Side: bid, Order ID: 86, Order type: MARKET, Price: 100-315, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.481748, CUSIP: 91282CFX4, Side: offer, Order ID: 87, Order type: MARKET, Price: 100-305, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.492718, CUSIP: 91282CFX4, Side: bid, Order ID: 88, Order type: MARKET, Price: 100-301, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.503690, CUSIP: 91282CFX4, Side: offer, Order ID: 89, Order type: MARKET, Price: 100-291, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.516655, CUSIP: 91282CFX4, Side: bid, Order ID: 90, Order type: MARKET, Price: 100-285, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.530616, CUSIP: 91282CFX4, Side: offer, Order ID: 91, Order type: MARKET, Price: 100-275, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.542585, CUSIP: 91282CFX4, Side: bid, Order ID: 92, Order type: MARKET, Price: 100-271, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.557574, CUSIP: 91282CFX4, Side: offer, Order ID: 93, Order type: MARKET, Price: 100-261, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.568515, CUSIP: 91282CFX4, Side: bid, Order ID: 94, Order type: MARKET, Price: 100-255, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.583508, CUSIP: 91282CFX4, Side: offer, Order ID: 95, Order type: MARKET, Price: 100-245, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.599432, CUSIP: 91282CFX4, Side: bid, Order ID: 96, Order type: MARKET, Price: 100-241, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.614392, CUSIP: 91282CFX4, Side: offer, Order ID: 97, Order type: MARKET, Price: 100-231, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.626361, CUSIP: 91282CFX4, Side: bid, Order ID: 98, Order type: MARKET, Price: 100-225, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.637364, CUSIP: 91282CFX4, Side: offer, Order ID: 99, Order type: MARKET, Price: 100-215, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.648338, CUSIP: 91282CFX4, Side: bid, Order ID: 100, Order type: MARKET, Price: 100-211, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.660271, CUSIP: 91282CFX4, Side: offer, Order ID: 101, Order type: MARKET, Price: 100-201, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.672240, CUSIP: 91282CFX4, Side: bid, Order ID: 102, Order type: MARKET, Price: 100-195, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.688233, CUSIP: 91282CFX4, Side: offer, Order ID: 103, Order type: MARKET, Price: 100-185, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.700165, CUSIP: 91282CFX4, Side: bid, Order ID: 104, Order type: MARKET, Price: 100-181, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.711162, CUSIP: 91282CFX4, Side: offer, Order ID: 105, Order type: MARKET, Price: 100-171, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.723102, CUSIP: 91282CFX4, Side: bid, Order ID: 106, Order type: MARKET, Price: 100-165, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.734106, CUSIP: 91282CFX4, Side: offer, Order ID: 107, Order type: MARKET, Price: 100-155, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.751060, CUSIP: 91282CFX4, Side: bid, Order ID: 108, Order type: MARKET, Price: 100-151, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.761998, CUSIP: 91282CFX4, Side: offer, Order ID: 109, Order type: MARKET, Price: 100-141, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.772969, CUSIP: 91282CFX4, Side: bid, Order ID: 110, Order type: MARKET, Price: 100-135, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.785937, CUSIP: 91282CFX4, Side: offer, Order ID: 111, Order type: MARKET, Price: 100-125, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.797903, CUSIP: 91282CFX4, Side: bid, Order ID: 112, Order type: MARKET, Price: 100-121, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.810871, CUSIP: 91282CFX4, Side: offer, Order ID: 113, Order type: MARKET, Price: 100-111, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.822838, CUSIP: 91282CFX4, Side: bid, Order ID: 114, Order type: MARKET, Price: 100-105, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.834806, CUSIP: 91282CFX4, Side: offer, Order ID: 115, Order type: MARKET, Price: 100-095, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.846771, CUSIP: 91282CFX4, Side: bid, Order ID: 116, Order type: MARKET, Price: 100-091, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.858740, CUSIP: 91282CFX4, Side: offer, Order ID: 117, Order type: MARKET, Price: 100-081, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.869743, CUSIP: 91282CFX4, Side: bid, Order ID: 118, Order type: MARKET, Price: 100-075, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.880716, CUSIP: 91282CFX4, Side: offer, Order ID: 119, Order type: MARKET, Price: 100-065, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.891684, CUSIP: 91282CFX4, Side: bid, Order ID: 120, Order type: MARKET, Price: 100-061, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.903623, CUSIP: 91282CFX4, Side: offer, Order ID: 121, Order type: MARKET, Price: 100-051, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.916584, CUSIP: 91282CFX4, Side: bid, Order ID: 122, Order type: MARKET, Price: 100-045, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
2022-Dec-24 00:33:56.929553, CUSIP: 91282CFX4, Side: offer, Order ID: 123, Order type: MARKET, Price: 100-035, Visible quantity: 10000000.000000, Hidden quantity: 0.000000, Parent order ID: NA, Is child order: 0, 
